Année,Prix,Auteur,Titre,prix_19_23
2022,Prix Femina étranger,Rachel Cusk,La Dépendance,1
2022,Prix Femina essai,Annette Wieviorka,Tombeaux,1
2022,Prix Femina des lycéens,Polina Panassenko,Tenir sa langue,1
2022,Prix Goncourt,Philippe Besson,Vivre vite,1
2022,Prix Goncourt du premier roman,Étienne Kern,Les Envolés,1
2022,Prix Goncourt des lycéens,Sabyl Ghoussoub,Beyrouth-sur-Seine,1
2022,Prix Goncourt de la nouvelle,Antoine Wauters,Le musée des contradictions,1
2022,Prix Goncourt de la biographie, Jean-Pierre Langellier,Léopold Sédar Senghor,1
2022,Liste Goncourt : le choix polonais,Grégoire Bouillier,Le cœur ne cède pas,1
2022,Prix Médicis,Emmanuelle Bayamack-Tam,La Treizième Heure,1
2022,Prix Médicis étranger,Andreï Kourkov,Les Abeilles grises,1
2022,Prix Médicis essai,Georges Didi-Huberman,Le Témoin jusqu’au bout,1
2022,Prix Renaudot,Simon Liberati,Performance,1
2022,Prix Renaudot essai,Guillaume Durand,Déjeunons sur l'herbe,1
2022,Prix Renaudot du livre de poche,Delphine Horvilleur,Vivre avec nos morts,1
2022,Prix Renaudot des lycéens,Sandrine Collette,On était des loups,1
2022,Grand prix du roman de l'Académie française,Giuliano da Empoli,Le Mage du Kremlin,1
2022,Prix Interallié,Philibert Humm,Roman fleuve,1
2022,Prix Jean-Freustié,Julia Deck,Monument national,1
2022,Prix Joseph-Kessel,Patrick Deville,Fenua,1
2022,Prix du Livre Inter,Antoine Wauters,Mahmoud ou la montée des eaux,1
2022,Prix Stanislas du premier roman,Laurence Potte-Bonneville,Jean-Luc et Jean-Claude,1
2022,Prix Première Plume,Anthony Passeron,Les Enfants endormis,1
2022,Prix du premier roman,Maria Larrea,Les gens de Bilbao naissent où ils veulent,1
2022,Prix du premier roman,Jarred McGinnis,Le Lâche,1
2022,Prix de l'Académie française Maurice-Genevoix,Louis-Henri de La Rochefoucauld,Châteaux de sable,1
2022,Prix François-Mauriac,Olivier Hercend,Zita,1
2022,Prix François-Mauriac de la région Aquitaine,Laurent Joly,La rafle du Vel d’Hiv,1
2022,"Prix André-Malraux, catégorie essai sur l'art",Francesca Woodman,"Traverser l’invisible, Énigmes figuratives de Francesca Woodman et Vivian Maier",1
2022,Prix Décembre,Lola Lafon,Quand tu écouteras cette chanson,1
2022,Prix des Deux Magots,Louis-Henri de La Rochefoucauld,Châteaux de Sable,1
2022,Prix de Flore,Joffrine Donnadieu,Chienne et louve,1
2022,Prix Fragonard de littérature étrangère,Théodora Dimova,Les Dévastés,1
2022,Prix de la Closerie des Lilas,Elena Piacentini,Les Silences d’Ogliano,1
2022,Prix France Culture-Télérama,Kaouther Adimi,Au vent mauvais,1
2022,Anne Berest,Anne Berest,La Carte postale,1
2022,Prix littéraire ENS Paris-Saclay,Lois Lowry,Le Passeur,1
2022,Prix Landerneau des lecteurs,Emmanuelle Bayamack-Tam,La Treizième heure,1
2022,Prix Jean-Monnet de littérature européenne du département de la Charente,Jón Kalman Stefánsson,Ton absence n’est que ténèbres,1
2022,Prix du Quai des Orfèvres,Véronique de Haas,La Muse rouge,1
2022,Prix des libraires,Marie Vingtras,Blizzard,1
2022,Prix du roman Fnac,Sarah Jollien-Fardel,Sa préférée,1
2022,Prix Eugène-Dabit du roman populiste,Dan Nisand,Les Garçons de la cité-jardin,1
2022,Grand prix RTL-Lire,Hélène Gestern,555,1
2022,Prix France Télévisions,Jeanne Benameur,La Patience des traces,1
2022,Prix France Télévisions,Marianne Chaillan,Où donc est le bonheur,1
2022,Prix littéraire du Monde,Mathieu Belezi,Attaquer la terre et le soleil,1
2022,Grand prix Roman de l'été de Femme Actuelle,Cindy Valt,Le journal de Betty Swan,1
2022,Grand prix de l'Imaginaire,Jérôme Leroy,Vivonne,1
2022,Grand Prix de Poésie de la SGDL,Ludovic Bernhardt,Réacteur 3 ,1
2022,Prix Rosny aîné « Roman »,Ketty Steward,L'Évangile selon Myriam,1
2022,Feuille d'or de la ville de Nancy,Thierry Beinstingel,Dernier travail,1
2022,Fauve d'or : prix du meilleur album,Marcello Quintanilha,"Écoute, jolie Marcia",1
2022,Prix littéraire de la Ville de Caen,Lilia Hassaine,Soleil amer,1
2022,Prix Heredia,Jean D'Amérique,Rhapsodie rouge,1
2022,Prix Orange du Livre,Laurine Roux,L'autre moitié du monde,1
2022,Prix Terre de France,Oriane Jeancourt Galignani,Quand l'arbre tombe,1
2022,Prix Terre de France - Ouest-France,Stéphane Emond ,Argonne,1
2022,Prix Amerigo-Vespucci,Fabien Truong,La taille des arbres,1
2022,Prix Amerigo-Vespucci Jeunesse,Eva Bensard,Hokusai et le Fujisan,1
2022,Prix Amerigo-Vespucci de la BD géographique,Étienne Davodeau,Le droit du sol,1
2023,Prix Femina,Neige Sinno,Triste Tigre,1
2023,Prix Femina étranger,Louise Erdrich,La Sentence,1
2023,Prix Femina essai,Hugo Micheron,La Colère et l'oubli,1
2023,Prix Femina des lycéens,Éric Chacour,Ce que je sais de toi,1
2023,Prix Goncourt,Jean-Baptiste Andrea,Veiller sur elle,1
2023,Prix Goncourt du premier roman,Pauline Peyrade,L'âge de détruire,1
2023,Prix Goncourt de la nouvelle,David Thomas,Partout les autres,1
2023,Prix Goncourt de la poésie,Laura Vazquez,Le livre du large et du long,1
2023,Prix Goncourt de la biographie,Claude Burgelin,Georges Perec,1
2023,Prix Goncourt des détenus,Mokhtar Amoudi,Les conditions idéales,1
2023,Liste Goncourt : le choix polonais,Antoine Sénanque,Croix de cendre,1
