video_id,title,description,published_at,channel_title
qBJuM5pSnTE,Nouveau livre disponible!,"Nouveau livre disponible ! Mon tout dernier livre, intitulé « Maigrir sans sport et sans effort », est disponible sur notre site !",2023-10-26T06:30:12Z,Dream Body
-0SbOa75O4s,"Émotions, mon nouveau livre",,2023-08-10T15:16:57Z,Matthieu Meriot
K6ieh9W1nkk,Un nouveau livre..Celui du chef Michel !!,Je suis toujours aux aguets des nouveaux livres sur le marché. Le chef Michel a une chaine youtube depuis 2013 et il est ...,2023-10-21T16:24:07Z,Cuisine avec tes livres! 
VRZSOWYKAnM,"Nouveau livre 🍁❄️☀️ Prévenir les infections saisonnières et récidivantes, avec des remèdes naturels",,2023-11-22T19:00:15Z,Luc Bodin - Chaîne Officielle
_IgX5_Lx6RM,UAV SHOW 2023-Thierry MOHR dédicace son nouveau livre &quot;Le Drone et le Business&quot;,"Thierry MOHR dédicace son nouveau livre ""Le Drone et le Business"" sur le stand B-06 d'Aeropyxis / Fréquence Drone !",2023-10-10T07:51:52Z,Drone&Vtol Magazine
Q-hOih4oaqY,🌟Présentation du nouveau livre Pdf Grifik sortie le 17 Avril 2023,Lien Etsy https://www.etsy.com/fr/shop/GRIFIK Site internet https://thegrifik.com/ Insta ...,2023-04-17T12:19:30Z,*ColoFab*
1ihX70BJ4v0,Interview de Murielle Szac pour son nouveau livre ✨ Le feuilleton de Tsippora ✨,"Murielle Szac relève un nouveau défi : explorer la voix d'une femme de la Bible. Tsippora, épouse de Moshé, femme noire, ...",2023-03-29T13:11:12Z,Bayard Editions Jeunesse
lUE5-yxXDwE,Poser sur nos enfants les yeux de la confiance - le nouveau livre d&#39;Arno et André Stern,"Extraits du livre ""Poser sur nos enfants les yeux de la confiance"" d'Arno & André Stern Editions MARABOUT Sortie le 1er février ...",2023-02-03T08:25:00Z,Arno Stern
dHx1ZlZ7N6Q,NOUVEAU LIVRE 🎉 sur sabrinakaufmann.com 🎀#pointparpoint #dessinmanga  #pointsarelier #coloriage,,2023-07-15T15:45:01Z,Sabrina Kaufmann - De l'Art au Business
1OVaCi_WZQw,La Flèche : Laure Manel découvre son nouveau livre à l&#39;imprimerie Brodard et Taupin,"L'autrice de La délicatesse du homard, Laure Manel, a assisté à l'impression de son 10e ouvrage, Ce que disent les silences, ...",2023-03-09T22:25:29Z,Actu
wPu08mkl33c,MON NOUVEAU LIVRE : DÉLICES EN TASSE #vegan,"Ce livre qui contient plus de 60 recettes autour des boissons chaudes, c'est parfait pour la saison, n'est-ce pas☺️? Comme vous ...",2023-11-08T16:25:48Z,Laura VeganPower
hh1m--3eqXE,Nouveau livre de coloriage Le Petit Chaperon Rouge,"Dans ce quatrième livre de coloriage, rencontrez Livie, l'adorable et espiègle Petit Chaperon rouge du célèbre conte de notre ...",2023-11-06T09:05:38Z,Amandine Jung
ISattSbyUHg,MON NOUVEAU LIVRE DE SORCELLERIE ! (Short),"Et voilà ! C'est sorti ! Mon deuxième livre ""Petit Manuel d'Enchantements pour Sorciers Débutants"" ! === MON NOUVEAU LIVRE ...",2023-10-30T12:17:51Z,XIO NIXES
2H6wmCb97vQ,Alerte nouveau livre !!!!,Voici un nouveau livre diponible sur wattpad !!!! ⚡️ Instagram: Cam_eit YouTube: Cam_eit ✨ Wattpad: Cam_eit ...,2023-12-30T16:23:51Z,cam_eit
o67hkpzWo6g,Nouveau livre - Le Cumulus Machinus en librairies,"Notre nouveau livre, un roman jeunesse de 128 pages, écrit par Ugo Monticone et illustré par Orbie aux éditions la courte échelle ...",2023-11-01T23:01:40Z,Orbie autrice et illustratrice
pjriq9B6C0A,Harry Potter un nouveau livre arrive ! #harrypotter #jkrowling #popculture #potterhead,,2023-08-23T18:12:25Z,LE YOLO SHOW
nSReXM8AaUA,nouveau livre,découverte nouveau livre.,2023-09-28T10:06:00Z,Bonheur & Nature
OVeXtgoE9kQ,Nouveau livre dans la bibliothèque #bookhaul #booktube #booktubefrance,,2023-03-17T12:09:41Z,La citadelle de mes lectures
du2-Gk0rXo8,Nouveau livre audio : Knulp d&#39;Hermann Hesse #livreaudio #hermannhesse,,2023-08-06T11:14:23Z,Gregory Huck
RdF3a3NxRmY,[PAC] mars 2023 + flip nouveau livre 🌴,"Coucou ! J'espère que cette vidéo vous plaira, n'hésitez pas à vous abonnez si ce n'est pas déjà fait et à me dire en commentaire ...",2023-03-03T06:00:09Z,Laemiana
x4iufuRaWMc,Le nouveau livre jeunesse du Pharmachien,"Le vulgarisateur scientifique et pharmacien Olivier Bernard, mieux connu sous le pseudonyme du Pharmachien, lance un second ...",2023-02-03T16:12:09Z,Radio-Canada Info
7bXFGG9KDbc,Nouvelle Autrice.... Nouveau livre 📚#short #livres,Pensez à activer la pour ne pas rater mes vidéos. https://sevelivresque.wordpress.com Mail contact (SP. Collab. Lecture en duo ...,2023-01-28T08:02:58Z,Séverine : tout mon univers
zkcm-HjRv_w,#justicepourtous #combat #france #macrondemission #macron #abonnetoi #like#livre #nouveauté #partage,Edité par YouCut:https://youcutapp.page.link/BestEditor.,2023-01-16T07:42:20Z,Isabelle Ballereau
SrFcJqUwohw,Nouveau produit:  Coffre-livre personnalisé #crafts #faitmain #petiteentreprise #booktube #craft,,2023-06-27T18:41:45Z,House of Della Notte
2mUOrJQloKU,#nouveauté #olejoff #2023 #new #style #nouveauté ￼#2023 #livre #book #video #youtube #ytb #viral,,2023-06-12T05:34:50Z,OLEJ
mtJCsofnrYU,mon nouveau livre &quot;Dompteur de rimes&quot; sort le 10 avril en librairie #slam #écrivain #auteur  #livre,,2023-03-16T17:43:59Z,David Maille
1IIp5sdiklQ,Didier Raoult parle de son nouveau livre,raoult #lecture #drama #chatgpt #gpt #ia #ai #complotisme #tpmp #hanouna Source ...,2023-04-13T07:21:12Z,Drama Hub
Or9tdvdwPSw,5 dingueries qui nous sont révélées dans le nouveau livre de Britney ! 👀,Retrouve les news et interview Konbini ! Konbini est dispo en podcast ▻ https://podlink.to/konbini-podcasts ▻ Konbini ...,2023-10-28T18:00:08Z,Konbini
02y7OoX4PlQ,Jamais deux sans trois ! 📖 #motivation #developpementpersonnel #livre #nouveauté #shortswithzita,,2023-09-12T14:35:12Z,FreedombyAxel
aWdLjWMNHxc,MON #NOUVEAU #LIVRE EST DISPONIBLE 🔥,Consulter mon site internet : https://baptiste-noury-developpement-personnel.com/ Recevoir gratuitement mes mails privés ...,2023-02-01T08:50:23Z,Baptiste Noury 
y-_2B_8YdLU,ROADBOOK - Nouveau livre du photographe Eric CANTO,"Découvrez ROADBOOK ! Nouveau livre de 208 pages, plus de 500 photos, des anecdotes et des vidéos ...",2023-11-18T15:55:45Z,Eric CANTO
9oiuv57IrWg,"J - 22 avant la révélation de la couverture de mon nouveau livre, le 1er mai 2023 inchallah.","J - 22 avant la révélation de la couverture de mon nouveau livre, le 1er mai 2023 inchallah. Soyez au rendez vous les amis.",2023-04-09T10:03:06Z,Mohamed algeriafoot
wk4nt434VFw,#justicepourtous #combat #france #macrondemission #macron #abonnetoi #like#livre #nouveauté #partage,,2023-01-24T06:34:16Z,Isabelle Ballereau
vGjmR7DlV-A,NOTRE NOUVEAU LIVRE EST DISPO 😱 &quot;SNEAKERS OBSESSION&quot; MEILLEURES VENTES 🔝 MERCI À TOUS ❤️,Sneakers Obsession est toujours disponible sur notre site internet.,2023-04-12T10:00:45Z,Kikikickz
Uqfy6TMnJwg,Alerte Nouveau Livre : Animaux du monde (Coloriage)  #coloriage  #animaux  #amazonbooks,"Découvrez les merveilles cachées du règne animal avec notre dernier chef-d'œuvre de la série ""Les Exploracouleurs"" : ""Animaux ...",2023-12-09T23:44:35Z,Voie Lactée
WyuvirNzNXU,"Féminin, le nouveau livre de Claire Touzard","Voici Claire Touzard, autrice de ""Sans Alcool""... l'interview complète est en ligne ! #shorts.",2023-03-04T19:42:59Z,Soif de Sens
