,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
357,Avril 2021,et la vie reprit son cours,1.0,,,,,,,,,,,,,,,,Catherine Bardon
358,Avril 2023,et la vie reprit à petites foulées,1.0,,,,,,,,,,,,,,,,Giulia Larigaldie
359,Mai 2021,et que ne durent que les moments doux,1.0,,,,,,,,,,,,,,,,Virginie Grimaldi
360,Avril 2023,et que quelqu'un vous tende la main,1.0,,,,,,,,,,,,,,,,Carène Ponte
361,Août-Octobre 2023,et si c'était une nuit,1.0,,,,,,,,,,,,,,,,Tobie Nathan
362,Janvier 2021,et toujours les forêts,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix de la Closerie des Lilas,1.0,,,,0.0,0.0,0.0,Sandrine Collette
363,Août-Octobre 2023,et vous passerez comme des vents fous,1.0,0.0,0.0,0.0,,,0.0,2023.0,Prix Terre de France - Ouest-France,1.0,,,,0.0,0.0,0.0,Clara Arnaud
367,Août-Octobre 2023,eunice,1.0,,,,,,,,,,,,,,,,Lisette Lombé
368,Août 2021,exit west,1.0,,,,,,,,,,,,,,,,Mohsin Hamid
369,Avril 2022,expiration,1.0,,,,,,,,,,,,,,,,Ted Chiang
371,Août 2021,faiseurs d'histoires,1.0,,,,,,,,,,,,,,,,Dina Nayeri
374,Novembre 2022,fantômes,1.0,,,,,,,,,,,,,,,,Christian Kiefer
375,Avril 2023,faux témoin,1.0,,,,,,,,,,,,,,,,Karin Slaughter
376,Découverte Rentrée 2022,femme du ciel et des tempêtes,1.0,,,,,,,,,,,,,,,,Wilfried N'Sondé
377,Mars 2022,femmes en colère,1.0,,,,,,,,,,,,,,,,Mathieu Menegaux
378,Septembre 2022,fenua,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix Joseph-Kessel,1.0,,,,0.0,0.0,0.0,Patrick Deville
379,Avril 2023,fenêtre sur terre,1.0,,,,,,,,,,,,,,,,Franck Bouysse
380,Mars 2023,feu,1.0,,,,,,,,,,,,,,,,Maria Pourchet
381,Mai 2022,fille,1.0,,,,,,,,,,,,,,,,Camille Laurens
382,Septembre 2023,fille a,1.0,,,,,,,,,,,,,,,,Abigail Dean
383,Octobre 2023,fille de cendre,1.0,,,,,,,,,,,,,,,,Ilaria Tuti
384,Août 2021,"fille, femme, autre",1.0,,,,,,,,,,,,,,,,Bernardine Evaristo
385,Novembre 2023,filles d'un temps nouveau,1.0,,,,,,,,,,,,,,,,Carmen Korn
387,Août 2021,fin de combat,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix Médicis essai,1.0,,,,0.0,0.0,0.0,Karl Ove Knausgård
389,Mars 2023,fleur de sang,1.0,,,,,,,,,,,,,,,,Emmanuel Robert-Espalieu
390,Mai 2022,florida,1.0,,,,,,,,,,,,,,,,Olivier Bourdeaut
391,Mai 2023,frakas,1.0,,,,,,,,,,,,,,,,Thomas Cantaloube
392,Mars 2021,francis rissin,1.0,,,,,,,,,,,,,,,,Martin Mongin
393,Mai 2021,frangines,1.0,,,,,,,,,,,,,,,,Adèle Bréau
394,Septembre 2023,frida kahlo et les couleurs de la vie,1.0,,,,,,,,,,,,,,,,Caroline Bernard
395,Février 2023,friday black,1.0,,,,,,,,,,,,,,,,Nana Kwame Adjei-Brenyah
396,Novembre 2023,"friends, mes amours et cette chose terrible",1.0,,,,,,,,,,,,,,,,Matthew Perry
398,Octobre 2023,froid comme l'enfer,1.0,,,,,,,,,,,,,,,,Lilja Sigurdardottir
399,Août-Octobre 2023,fuck up,1.0,,,,,,,,,,,,,,,,Arthur Nersesian
400,Mars 2023,fuir l'eden,1.0,,,,,,,,,,,,,,,,Olivier Dorchamps
401,Rentrée 2021,furies,1.0,,,,,,,,,,,,,,,,Julie Ruocco
402,Mai 2023,gabrielle ou les infortunes de la vertu,1.0,,,,,,,,,,,,,,,,Catherine Delors
403,Octobre 2022,gagner n'est pas jouer,1.0,,,,,,,,,,,,,,,,Harlan Coben
404,Rentrée 2021,galerie des glaces,1.0,,,,,,,,,,,,,,,,Eric Garandeau
406,Octobre 2022,"gardez l'oeil ouvert, tome 1",1.0,,,,,,,,,,,,,,,,Victoria Charlton
409,Août-Octobre 2023,georgette,1.0,,,,,,,,,,,,,,,,Dea Liane
410,Rentrée 2023,ghost town,1.0,,,,,,,,,,,,,,,,Kevin Chen
412,Août 2021,glory,1.0,,,,,,,,,,,,,,,,Elizabeth Wetmore
413,Mars 2023,grand hotel europa,1.0,,,,,,,,,,,,,,,,Ilja Leonard Pfeijffer
414,Novembre 2023,grande soeur,1.0,,,,,,,,,,,,,,,,Gunnar Staalesen
415,Avril 2021,gruffalo,1.0,,,,,,,,,,,,,,,,Julia Donaldson
416,Octobre 2023,guerre,1.0,,,,,,,,,,,,,,,,Louis-Ferdinand Céline
417,Mars 2023,guetter l'aurore,1.0,,,,,,,,,,,,,,,,Julie Printzac
418,Octobre 2022,géantes,1.0,,,,,,,,,,,,,,,,Murielle Magellan
419,Février 2023,"hadès, argentine",1.0,,,,,,,,,,,,,,,,Daniel Loedel
420,Avril 2022,hamnet,1.0,,,,,,,,,,,,,,,,Maggie OFarrell
421,Octobre 2023,"hamster, bretzels & mariage à noël",1.0,,,,,,,,,,,,,,,,Ena Fitzbel
424,Avril 2022,haute saison,1.0,,,,,,,,,,,,,,,,Adèle Bréau
426,Rentrée 2023,hazel,1.0,,,,,,,,,,,,,,,,Sarah Koskievic
428,Avril 2022,heresix,1.0,,,,,,,,,,,,,,,,Nicolas Feuz
429,Avril 2023,hildegarde,1.0,,,,,,,,,,,,,,,,Léo Henry
432,Mars 2023,"histoire de la souffrance, tome 1 : âmes",1.0,,,,,,,,,,,,,,,,Tristan Garcia
434,Février 2022,histoire du fils,1.0,0.0,0.0,0.0,,,0.0,2020.0,Prix Renaudot,1.0,,,,0.0,0.0,0.0,Marie-Hélène Lafon
435,Janvier 2022,histoires de la nuit,1.0,,,,,,,,,,,,,,,,Laurent Mauvignier
437,Rentrée 2021,hors de toi,1.0,,,,,,,,,,,,,,,,Sandrine Girard
438,Septembre 2023,hors gel,1.0,,,,,,,,,,,,,,,,Emmanuelle Salasc
439,Rentrée 2023,hors saison,1.0,,,,,,,,,,,,,,,,Basile Mulciba
440,Février 2021,hors sol,1.0,,,,,,,,,,,,,,,,Pierre Alféri
442,Avril 2023,humeur noire,1.0,,,,,,,,,,,,,,,,Anne-Marie Garat
444,Avril 2023,héloïse,1.0,,,,,,,,,,,,,,,,Ophélie Cohen
446,Janvier 2023,héroïne,1.0,,,,,,,,,,,,,,,,Tristan Saule
447,Rentrée 2023,hôtel de la folie,1.0,,,,,,,,,,,,,,,,David Le Bailly
448,Mai 2022,i hate you more,1.0,,,,,,,,,,,,,,,,Elizabeth O'Roark
449,Mars 2023,iberio,1.0,,,,,,,,,,,,,,,,David Zukerman
451,Octobre 2023,identités croisées,1.0,,,,,,,,,,,,,,,,Harlan Coben
452,Août 2021,il est des hommes qui se perdront toujours,1.0,,,,,,,,,,,,,,,,Rebecca Lighieri
453,Avril 2022,il n'est pire aveugle,1.0,,,,,,,,,,,,,,,,John Boyne
454,Mai 2023,il nous restera ça,1.0,,,,,,,,,,,,,,,,Virginie Grimaldi
455,Mars 2022,il y a tant de façons de mourir,1.0,,,,,,,,,,,,,,,,Jessica Barry
456,Mai 2021,il était deux fois,1.0,,,,,,,,,,,,,,,,Franck Thilliez
457,Mai 2021,il était un fleuve,1.0,,,,,,,,,,,,,,,,Diane Setterfield
458,Découverte Rentrée 2022,il était une fois à hollywood,1.0,,,,,,,,,,,,,,,,Quentin Tarantino
459,Rentrée 2023,illuminatine,1.0,,,,,,,,,,,,,,,,Simon Bentolila
460,Octobre 2021,immortel,1.0,,,,,,,,,,,,,,,,José Rodrigues dos Santos
461,Octobre 2021,impact,1.0,,,,,,,,,,,,,,,,Olivier Norek
463,Découverte Rentrée 2022,implosions,1.0,,,,,,,,,,,,,,,,Hyam Yared Schoucair
464,Novembre 2022,impossible,1.0,,,,,,,,,,,,,,,,Erri De Luca
465,Août 2021,incident au fond de la galaxie,1.0,,,,,,,,,,,,,,,,Etgar Keret
466,Août-Octobre 2023,insatiable,1.0,,,,,,,,,,,,,,,,Daisy Buchanan
468,Novembre 2023,instants,1.0,,,,,,,,,,,,,,,,Bruno Combes
469,Octobre 2021,"isabelle, l'après-midi",1.0,,,,,,,,,,,,,,,,Douglas Kennedy
470,Janvier 2022,isoline,1.0,,,,,,,,,,,,,,,,Judith Gautier
472,Août-Octobre 2023,j'ai 8 ans et je m'appelle jean rochefort,1.0,,,,,,,,,,,,,,,,Adèle Fugère
473,Avril 2021,j'ai couru vers le nil,1.0,,,,,,,,,,,,,,,,Alaa El Aswany
474,Novembre 2023,j'ai l'énergie d'une lionne dans un corps d'oiseau,1.0,,,,,,,,,,,,,,,,Patricia Bouchenot-Déchin
476,Octobre 2022,j'ai un nom,1.0,,,,,,,,,,,,,,,,Chanel Miller
477,Novembre 2023,j'étais là,1.0,,,,,,,,,,,,,,,,Driver
478,Septembre 2021,jack reacher - hs : simples déductions,1.0,,,,,,,,,,,,,,,,Lee Child
479,Février 2022,jamais tu ne me quitteras (liés à tout jamais),1.0,,,,,,,,,,,,,,,,Chevy Stevens
480,Rentrée 2023,jardin des oubliés,1.0,,,,,,,,,,,,,,,,Mouloud Akkouche
481,Septembre 2022,jardins de poussière,1.0,,,,,,,,,,,,,,,,Ken Liu
482,Août 2021,jazz à l'âme,1.0,,,,,,,,,,,,,,,,William Melvin Kelley
485,Janvier 2021,je ne suis pas seul à être seul,1.0,,,,,,,,,,,,,,,,Jean-Louis Fournier
486,Janvier 2022,je revenais des autres,1.0,,,,,,,,,,,,,,,,Mélissa Da Costa
487,Septembre 2023,je sais qui l'a tué,1.0,,,,,,,,,,,,,,,,Steve Mosby
490,Mai 2022,je suis fille de rage,1.0,,,,,,,,,,,,,,,,Jean-Laurent Del Socorro
491,Octobre 2022,je suis l'abysse,1.0,,,,,,,,,,,,,,,,Donato Carrisi
492,Janvier 2023,je suis la maman du bourreau,1.0,,,,,,,,,,,,,,,,David Lelait-Helo
493,Avril 2023,je suis le feu,1.0,,,,,,,,,,,,,,,,Max Monnehay
494,Mars 2021,"je suis providence, tome 1",1.0,,,,,,,,,,,,,,,,Sunand Tryambak Joshi
495,Mars 2021,je suis une viking,1.0,,,,,,,,,,,,,,,,Andrew David MacDonald
496,Août-Octobre 2023,je vais bien,1.0,,,,,,,,,,,,,,,,Régis Franc
498,Août-Octobre 2023,jeanne,1.0,,,,,,,,,,,,,,,,Alix de Maistre
499,Mai 2023,jeu d'enfant,1.0,,,,,,,,,,,,,,,,Danielle Steel
500,Août-Octobre 2023,jeudi,1.0,,,,,,,,,,,,,,,,Eden Levin
501,Mars 2021,jeux dangereux,1.0,,,,,,,,,,,,,,,,Danielle Steel
502,Octobre 2022,jolies filles,1.0,,,,,,,,,,,,,,,,Robert Bryndza
504,Mars 2021,jouir,1.0,,,,,,,,,,,,,,,,Sarah Barmak
505,Rentrée 2023,journal d'un scénario,1.0,,,,,,,,,,,,,,,,Fabcaro
507,Rentrée 2023,juliette,1.0,,,,,,,,,,,,,,,,Abd al Malik
508,Rentrée 2022,jusque dans la terre,1.0,,,,,,,,,,,,,,,,Sue Rainsford
509,Septembre 2021,juste avant la nuit,1.0,,,,,,,,,,,,,,,,Isabel Ashdown
510,Octobre 2023,justice divine,1.0,,,,,,,,,,,,,,,,Michael Hjorth
512,Mars 2023,kasso,1.0,,,,,,,,,,,,,,,,Jacky Schwartzmann
514,Février 2023,klara et le soleil,1.0,,,,,,,,,,,,,,,,Kazuo Ishiguro
515,Août-Octobre 2023,l'abîme,1.0,,,,,,,,,,,,,,,,Nicolas Chemla
517,Octobre 2021,l'accro du shopping fête noël,1.0,,,,,,,,,,,,,,,,Sophie Kinsella
518,Mars 2023,l'adieu au rivage,1.0,,,,,,,,,,,,,,,,Manuela Piemonte
519,Rentrée 2022,l'adultère ingénue,1.0,,,,,,,,,,,,,,,,Natalie Clifford Barney
520,Mars 2021,l'affaire clara miller,1.0,,,,,,,,,,,,,,,,Olivier Bal
521,Septembre 2023,l'affaire du siècle,1.0,,,,,,,,,,,,,,,,Mariah Fredericks
522,Octobre 2022,l'agence des miracles,1.0,,,,,,,,,,,,,,,,Sofia Giovanditti
523,Octobre 2023,l'aigle noir,1.0,,,,,,,,,,,,,,,,Jacques Saussey
524,Septembre 2023,l'air était tout en feu,1.0,,,,,,,,,,,,,,,,Camille Pascal
525,Février 2023,l'amour au temps des scélérats,1.0,,,,,,,,,,,,,,,,Anouar Benmalek
526,Octobre 2023,l'amour de ma vie,1.0,,,,,,,,,,,,,,,,Rosie Walsh
527,Mai 2023,l'amour des grands,1.0,,,,,,,,,,,,,,,,Caroline Michel
528,Mai 2022,l'amour est une saison,1.0,,,,,,,,,,,,,,,,Otis Kidwell Burger
529,Mars 2023,l'amour par temps de crise,1.0,,,,,,,,,,,,,,,,Daniela Krien
530,Découverte Rentrée 2022,l'anarchiste qui s'appelait comme moi,1.0,,,,,,,,,,,,,,,,Pablo Martín Sánchez
531,Janvier 2022,l'année du gel,1.0,,,,,,,,,,,,,,,,Agathe Portail
533,Mai 2023,l'antre des louves,1.0,,,,,,,,,,,,,,,,Elodie Harper
534,Mai 2022,l'apiculteur d'alep,1.0,,,,,,,,,,,,,,,,Christy Lefteri
535,Février 2023,l'arbre de colère,1.0,,,,,,,,,,,,,,,,Guillaume Aubin
536,Rentrée 2021,l'arbre ou la maison,1.0,,,,,,,,,,,,,,,,Azouz Begag
537,Février 2021,l'archipel des lärmes,1.0,,,,,,,,,,,,,,,,Camilla Grebe
538,Septembre 2023,l'archipel des oubliés,1.0,,,,,,,,,,,,,,,,Nicolas Beuglet
539,Octobre 2022,l'arithmétique terrible de la misère,1.0,,,,,,,,,,,,,,,,Catherine Dufour
540,Octobre 2022,l'assassin de la rue voltaire,1.0,,,,,,,,,,,,,,,,Henri Loevenbruck
541,Mai 2021,l'atelier des miracles,1.0,,,,,,,,,,,,,,,,Valérie Tong Cuong
543,Novembre 2022,l'autre bout du fil,1.0,,,,,,,,,,,,,,,,Andrea Camilleri
544,Janvier 2022,l'autre moitié de soi,1.0,,,,,,,,,,,,,,,,Brit Bennett
545,Mai 2023,l'autre moitié du monde,1.0,0.0,0.0,0.0,,,0.0,2022.0,Prix Orange du Livre,1.0,,,,0.0,0.0,0.0,Laurine Roux
546,Septembre 2023,l'avenir,1.0,,,,,,,,,,,,,,,,Catherine Leroux
548,Septembre 2022,l'eau rouge,1.0,,,,,,,,,,,,,,,,Jurica Pavicic
550,Janvier 2021,l'embarras du choix,1.0,,,,,,,,,,,,,,,,Laure Manel
551,Mai 2022,"l'empire s'effondre, tome 1",1.0,,,,,,,,,,,,,,,,Sébastien Coville
552,Rentrée 2023,l'enfant des forêts,1.0,,,,,,,,,,,,,,,,Michel Hauteville
553,Mai 2022,l'enfant des tempêtes,1.0,,,,,,,,,,,,,,,,Mélanie Guyard
554,Octobre 2022,l'enfant et l'oiseau,1.0,,,,,,,,,,,,,,,,Durian Sukegawa
555,Septembre 2023,l'enfant qui voulait disparaître,1.0,,,,,,,,,,,,,,,,Jason Mott
556,Mars 2023,l'enfant réparé,1.0,,,,,,,,,,,,,,,,Grégoire Delacourt
557,Avril 2021,l'enorme crocodile,1.0,,,,,,,,,,,,,,,,Roald Dahl
558,Rentrée 2023,l'enragé,1.0,0.0,0.0,1.0,10.0,,0.0,,,0.0,,,,0.0,0.0,0.0,Sorj Chalandon
559,Octobre 2023,l'enterrement de serge,1.0,,,,,,,,,,,,,,,,Stéphane Carlier
560,Novembre 2023,l'envers de la charité,1.0,,,,,,,,,,,,,,,,Pascal Grand
562,Septembre 2023,l'espion qui venait du livre,1.0,,,,,,,,,,,,,,,,Luc Chomarat
563,Avril 2021,l'examen,1.0,,,,,,,,,,,,,,,,Sylvain Neuvel
564,Octobre 2021,l'heure des spécialistes,1.0,,,,,,,,,,,,,,,,Barbara Zoeke
565,Septembre 2021,l'heure du diable,1.0,,,,,,,,,,,,,,,,Patrick Bauwen
566,Mai 2022,l'hiver de solveig,1.0,,,,,,,,,,,,,,,,Reine Andrieu
567,Novembre 2023,l'holocauste comme culture : discours et essais,1.0,,,,,,,,,,,,,,,,Imre Kertész
568,Rentrée 2022,l'homme peuplé,1.0,,,,,,,,,,,,,,,,Franck Bouysse
569,Septembre 2023,l'homme que je ne devais pas aimer,1.0,,,,,,,,,,,,,,,,Agathe Ruga
570,Rentrée 2022,l'homme qui danse,1.0,,,,,,,,,,,,,,,,Victor Jestin
571,Mars 2023,l'homme qui n'aimait plus les chats,1.0,,,,,,,,,,,,,,,,Isabelle Aupy
572,Janvier 2021,l'homme qui pleure de rire,1.0,,,,,,,,,,,,,,,,Frédéric Beigbeder
573,Novembre 2023,l'homme sans contact,1.0,,,,,,,,,,,,,,,,Marc Dugain
574,Février 2023,l'horizon d'une nuit,1.0,,,,,,,,,,,,,,,,Camilla Grebe
575,Septembre 2021,l'héritage du maître de chai,1.0,,,,,,,,,,,,,,,,Kristen Harnisch
576,Rentrée 2022,l'ile haute,1.0,,,,,,,,,,,,,,,,Valentine Goby
577,Février 2022,l'illusion,1.0,,,,,,,,,,,,,,,,Maxime Chattam
578,Novembre 2023,"l'immeuble de la rue cavendish, tome 3 : lucie se rebiffe",1.0,,,,,,,,,,,,,,,,Caroline Kant
579,Octobre 2022,l'impératrice,1.0,,,,,,,,,,,,,,,,Gigi Griffis
580,Rentrée 2022,l'inconduite,1.0,,,,,,,,,,,,,,,,Emma Becker
581,Octobre 2021,l'inconnu de la forêt,1.0,,,,,,,,,,,,,,,,Harlan Coben
582,Août-Octobre 2023,l'indésir,1.0,,,,,,,,,,,,,,,,Joséphine Tassy
583,Mai 2021,l'infini des possibles,1.0,,,,,,,,,,,,,,,,Lori Nelson Spielman
584,Septembre 2022,l'innocence et la loi,1.0,,,,,,,,,,,,,,,,Michael Connelly
585,Avril 2023,l'inoubliable voyage de miss benson,1.0,,,,,,,,,,,,,,,,Rachel Joyce
586,Septembre 2022,l'inspecteur sadorski libère paris,1.0,,,,,,,,,,,,,,,,Romain Slocombe
587,Août 2021,l'institut,1.0,,,,,,,,,,,,,,,,Stephen King
588,Découverte Rentrée 2022,l'intrusive,1.0,,,,,,,,,,,,,,,,Claudine Dumont
589,Mai 2023,l'invité(e) de trop,1.0,,,,,,,,,,,,,,,,Lucy Foley
590,Février 2022,l'obscur,1.0,,,,,,,,,,,,,,,,Philippe Testa
591,Novembre 2023,l'oeil de l'éléphant,1.0,,,,,,,,,,,,,,,,Delia Owens
593,Septembre 2022,l'os de lebowski,1.0,,,,,,,,,,,,,,,,Vincent Maillard
594,Septembre 2022,l'ours,1.0,,,,,,,,,,,,,,,,Andrew Krivak
595,Mars 2023,l'âge d'or,1.0,,,,,,,,,,,,,,,,Renée Rosen
597,Février 2023,l'âge des amours égoïstes,1.0,,,,,,,,,,,,,,,,Jérôme Attal
598,Octobre 2022,l'âme du fusil,1.0,,,,,,,,,,,,,,,,Elsa Marpeau
599,Rentrée 2021,l'éblouissement des petites filles,1.0,,,,,,,,,,,,,,,,Timothée Stanculescu
600,Découverte Rentrée 2022,l'école de topeka,1.0,,,,,,,,,,,,,,,,Ben Lerner
601,Octobre 2022,l'énigmatique madame dixon,1.0,,,,,,,,,,,,,,,,Alexandra Andrews
602,Août-Octobre 2023,l'épaisseur d'un cheveu,1.0,,,,,,,,,,,,,,,,Claire Berest
603,Novembre 2022,l'épouse de lord carew,1.0,,,,,,,,,,,,,,,,Mary Balogh
604,Octobre 2022,l'épouse et la veuve,1.0,,,,,,,,,,,,,,,,Christian White
605,Février 2023,l'équarrisseur,1.0,,,,,,,,,,,,,,,,Nadine Matheson
606,Découverte Rentrée 2022,l'éternel fiancé,1.0,,,,,,,,,,,,,,,,Agnès Desarthe
607,Février 2023,l'étoile brisée,1.0,,,,,,,,,,,,,,,,Nadeije Laneyrie-Dagen
608,Mai 2023,l'étoile de la liberté,1.0,,,,,,,,,,,,,,,,Oriane Lapouge
610,Mars 2023,l'évangile de la colère,1.0,,,,,,,,,,,,,,,,Ghislain Gilberti
611,Découverte Rentrée 2022,l'évangile du nouveau monde,1.0,,,,,,,,,,,,,,,,Maryse Condé
613,Février 2021,l'île au secret,1.0,,,,,,,,,,,,,,,,Ragnar Jónasson
614,Mai 2023,l'île aux arbres disparus,1.0,,,,,,,,,,,,,,,,Elif Shafak
615,Mai 2021,l'île de la mangrove rouge,1.0,,,,,,,,,,,,,,,,Sarah Lark
616,Mai 2022,l'île des âmes,1.0,,,,,,,,,,,,,,,,Piergiorgio Pulixi
617,Découverte Rentrée 2022,l'île du docteur faust,1.0,,,,,,,,,,,,,,,,Stéphanie Janicot
618,Septembre 2023,"la ballade de pern - intégrale, tome 4",1.0,,,,,,,,,,,,,,,,Anne McCaffrey
619,Mai 2021,la belle italienne,1.0,,,,,,,,,,,,,,,,Lucinda Riley
620,Février 2023,la bibliothèque de minuit,1.0,,,,,,,,,,,,,,,,Matt Haig
621,Mai 2023,la bibliothèque des rêves secrets,1.0,,,,,,,,,,,,,,,,Michiko Aoyama
622,Août 2021,la bibliothécaire d'auschwitz,1.0,,,,,,,,,,,,,,,,Antonio Iturbe
623,Mars 2023,la capture : qui sème les coups récolte la vengeance,1.0,,,,,,,,,,,,,,,,Nicolas Lebel
624,Découverte Rentrée 2022,la carte postale,1.0,0.0,0.0,0.0,,,0.0,2022.0,Anne Berest,1.0,,,,0.0,0.0,0.0,Anne Berest
625,Octobre 2022,la cavale de jaxie clackton,1.0,,,,,,,,,,,,,,,,Tim Winton
626,Avril 2022,la chair de sa chair,1.0,,,,,,,,,,,,,,,,Claire Favan
627,Janvier 2023,la chair du tigre,1.0,,,,,,,,,,,,,,,,Zoltan Mayer
631,Mars 2023,la chasse,1.0,,,,,,,,,,,,,,,,Gabriel Bergmoser
632,Janvier 2022,la chienne,1.0,,,,,,,,,,,,,,,,Pilar Quintana
633,Mai 2023,la chronique des bridgerton : la reine charlotte,1.0,,,,,,,,,,,,,,,,Julia Quinn
635,Septembre 2021,la chute de la maison whyte,1.0,,,,,,,,,,,,,,,,Katerina Autet
636,Janvier 2022,la cinquième victime,1.0,,,,,,,,,,,,,,,,Franck Linol
637,Novembre 2022,la cité des jarres,1.0,,,,,,,,,,,,,,,,Arnaldur Indriðason
638,Octobre 2023,la cité des saints et des fous,1.0,,,,,,,,,,,,,,,,Jeff VanderMeer
639,Octobre 2022,"la cité des songes, tome 1 : une couronne de roses et de givre",1.0,,,,,,,,,,,,,,,,Georgia Caldera
640,Mai 2023,la cité hantée,1.0,,,,,,,,,,,,,,,,Douglas Preston
641,Avril 2023,la claque,1.0,,,,,,,,,,,,,,,,Nicolas Robin
643,Février 2023,la clé du sang,1.0,,,,,,,,,,,,,,,,Ruth Ware
644,Mars 2023,la colline aux disparus,1.0,,,,,,,,,,,,,,,,Tana French
646,Rentrée 2023,la colère et l'envie,1.0,0.0,0.0,0.0,,,0.0,2023.0,Prix littéraire de la vocation,1.0,,,,0.0,0.0,0.0,Alice Renard
649,Septembre 2021,la confidente,1.0,,,,,,,,,,,,,,,,Renee Knight
652,Janvier 2021,la consolation de l'ange,1.0,,,,,,,,,,,,,,,,Frédéric Lenoir
654,Octobre 2022,la couleur des rêves,1.0,,,,,,,,,,,,,,,,Rose Tremain
655,Février 2023,la cour des mirages,1.0,,,,,,,,,,,,,,,,Benjamin Dierstein
656,Septembre 2022,la crue,1.0,,,,,,,,,,,,,,,,Amy Hassinger
657,Novembre 2022,la dame du ritz,1.0,,,,,,,,,,,,,,,,Melanie Benjamin
658,Découverte Rentrée 2022,la danse de l'eau,1.0,,,,,,,,,,,,,,,,Ta-Nehisi Coates
659,Septembre 2022,la danse de la tarentule,1.0,,,,,,,,,,,,,,,,Claire Blanchard
660,Août-Octobre 2023,la danse des damnées,1.0,,,,,,,,,,,,,,,,Kiran Millwood Hargrave
661,Mars 2022,la datcha,1.0,,,,,,,,,,,,,,,,Agnès Martin-Lugand
663,Août-Octobre 2023,la dent dure,1.0,,,,,,,,,,,,,,,,Isabelle Garreau
664,Novembre 2023,la dernière mission de gwendy,1.0,,,,,,,,,,,,,,,,Stephen King
665,Août-Octobre 2023,la dernière place,1.0,,,,,,,,,,,,,,,,Négar Djavadi
666,Janvier 2021,la deuxième femme,1.0,,,,,,,,,,,,,,,,Louise Mey
667,Avril 2023,la diagonale alekhine,1.0,,,,,,,,,,,,,,,,Arthur Larrue
668,Mars 2021,la dictatrice,1.0,,,,,,,,,,,,,,,,Diane Ducret
670,Août 2021,la discrétion,1.0,,,,,,,,,,,,,,,,Faïza Guène
671,Rentrée 2022,la dissociation,1.0,,,,,,,,,,,,,,,,Nadia Yala Kisukidi
672,Avril 2022,la divine comédie de nos vies,1.0,,,,,,,,,,,,,,,,Gavin's Clemente-Ruiz
673,Octobre 2022,la dixième muse,1.0,,,,,,,,,,,,,,,,Alexandra Koszelyk
674,Octobre 2023,la doublure,1.0,,,,,,,,,,,,,,,,Mélissa Da Costa
675,Rentrée 2022,la douceur de l'eau,1.0,,,,,,,,,,,,,,,,Nathan Harris
676,Octobre 2021,"la dynastie dent de lion, tome 2 : le goût de la victoire",1.0,,,,,,,,,,,,,,,,Ken Liu
677,Février 2021,la déchirure,1.0,,,,,,,,,,,,,,,,Henry Bauchau
678,Février 2023,la décision,1.0,0.0,0.0,0.0,,,0.0,,,0.0,Livre adulte,755.0,1.0,1.0,1.0,17.0,Karine Tuil
679,Avril 2021,la déesse des mouches à feu,1.0,,,,,,,,,,,,,,,,Geneviève Pettersen
680,Septembre 2023,la déesse et le marchand,1.0,,,,,,,,,,,,,,,,Amitav Ghosh
682,Septembre 2023,la déraison,1.0,,,,,,,,,,,,,,,,Agnès Martin-Lugand
683,Novembre 2023,la fabrique de l'humanité,1.0,,,,,,,,,,,,,,,,Pascal Boyer
684,Janvier 2022,la fabrique de la terreur,1.0,,,,,,,,,,,,,,,,Frédéric Paulin
685,Janvier 2023,la fabrique des lendemains,1.0,,,,,,,,,,,,,,,,Rich Larson
686,Mai 2021,la fabrique des pervers,1.0,,,,,,,,,,,,,,,,Sophie Chauveau
687,Découverte Rentrée 2022,la fabrique des souvenirs,1.0,,,,,,,,,,,,,,,,Clélia Renucci
688,Avril 2022,la face nord du coeur,1.0,,,,,,,,,,,,,,,,Dolores Redondo
690,Janvier 2022,la familia grande,1.0,,,,,,,,,,,,,,,,Camille Kouchner
691,Octobre 2022,la famille,1.0,,,,,,,,,,,,,,,,Shilpi Somaya Gowda
692,Septembre 2021,"la faucheuse, tome 2 : thunderhead",1.0,,,,,,,,,,,,,,,,Neal Shusterman
693,Février 2023,la faussaire,1.0,,,,,,,,,,,,,,,,Patricia Delahaie
694,Octobre 2023,la femme de ménage,1.0,,,,,,,,,,,,,,,,Freida McFadden
696,Septembre 2023,la femme du deuxième étage,1.0,,,,,,,,,,,,,,,,Jurica Pavicic
698,Janvier 2023,la femme et l'oiseau,1.0,0.0,0.0,0.0,,,0.0,2021.0,Feuille d'or de la ville de Nancy,1.0,,,,0.0,0.0,0.0,Isabelle Sorente
699,Découverte Rentrée 2022,la femme ourse,1.0,,,,,,,,,,,,,,,,Karolina Ramqvist
700,Mars 2023,la femme que nous sommes,1.0,,,,,,,,,,,,,,,,Emma Deruschi
701,Octobre 2021,la femme qui en savait trop,1.0,,,,,,,,,,,,,,,,Marie Benedict
702,Janvier 2023,la femme qui n'aimait plus les hommes,1.0,,,,,,,,,,,,,,,,Isabelle Le Nouvel
