,Mois,Titre,parutions,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,in_youtube,nb_youtube,Auteur
1625,Septembre 2023,reine de coeur,1.0,,,,,,,,,,,,,,,,Akira Mizubayashi
1626,Janvier 2021,rendez-vous au café du bonheur,1.0,,,,,,,,,,,,,,,,Lucy Diamond
1627,Novembre 2022,rendez-vous au paradis,1.0,,,,,,,,,,,,,,,,Heine Bakkeid
1628,Mai 2022,rendez-vous à gibraltar,1.0,,,,,,,,,,,,,,,,Peter May
1629,Février 2023,rendez-vous à naples,1.0,,,,,,,,,,,,,,,,Jean-Pierre Cabanes
1630,Découverte Rentrée 2022,rends-moi fière,1.0,,,,,,,,,,,,,,,,Nicole Dennis-Benn
1631,Janvier 2022,requiem pour une apache,1.0,,,,,,,,,,,,,,,,Gilles Marchand
1632,Septembre 2022,requiem pour une ville perdue,1.0,,,,,,,,,,,,,,,,Asli Erdogan
1633,Octobre 2023,respire...,1.0,,,,,,,,,,,,,,,,Joyce Carol Oates
1634,Mai 2022,retour à cuba,1.0,,,,,,,,,,,,,,,,Laurent Bénégui
1635,Août 2021,retour à ithaque,1.0,,,,,,,,,,,,,,,,Leonardo Padura
1636,Août 2021,retour à martha's vineyard,1.0,,,,,,,,,,,,,,,,Richard Russo
1637,Découverte Rentrée 2022,revenir fils,1.0,,,,,,,,,,,,,,,,Christophe Perruchas
1638,Découverte Rentrée 2022,revenir à toi,1.0,,,,,,,,,,,,,,,,Léonor de Recondo
1642,Rentrée 2022,rien ne dure vraiment longtemps,1.0,,,,,,,,,,,,,,,,Matthieu Seel
1643,Mars 2023,rien ne t'appartient,1.0,,,,,,,,,,,,,,,,Nathacha Appanah
1644,Novembre 2022,rien à déclarer,1.0,,,,,,,,,,,,,,,,Richard Ford
1645,Septembre 2023,riley tente l'impossible,1.0,,,,,,,,,,,,,,,,Jeffry P. Lindsay
1646,Janvier 2021,rivage de la colère,1.0,,,,,,,,,,,,,,,,Caroline Laurent
1648,Mai 2021,"rois du monde, tome 5 : chasse royale iv, curée chaude",1.0,,,,,,,,,,,,,,,,Jean-Philippe Jaworski
1650,Novembre 2023,rompre les digues,1.0,,,,,,,,,,,,,,,,Emmanuelle Pirotte
1651,Novembre 2022,romy et les lumières de paris,1.0,,,,,,,,,,,,,,,,Michelle Marly
1652,Mars 2021,"rosewater, tome 1 : rosewater",1.0,,,,,,,,,,,,,,,,Tade Thompson
1653,Octobre 2022,rouge,1.0,,,,,,,,,,,,,,,,Koz
1655,Octobre 2022,rouquine,1.0,,,,,,,,,,,,,,,,Stéphane Poirier
1656,Octobre 2022,"roy grace, tome 13 : la mort de lorna belling",1.0,,,,,,,,,,,,,,,,Peter James
1660,Mai 2023,résine,1.0,,,,,,,,,,,,,,,,Ane Riel
1662,Janvier 2021,rêve de fèvre,1.0,,,,,,,,,,,,,,,,George R.R. Martin
1663,Découverte Rentrée 2022,rêver debout,1.0,,,,,,,,,,,,,,,,Lydie Salvayre
1664,Novembre 2023,"rêver, oser, se dépasser",1.0,,,,,,,,,,,,,,,,Justine Hutteau
1665,Août 2021,rêves arctiques,1.0,,,,,,,,,,,,,,,,Barry Lopez
1666,Février 2022,rêves de montagnes,1.0,,,,,,,,,,,,,,,,Jon Krakauer
1667,Rentrée 2021,s'adapter,1.0,0.0,0.0,0.0,,,0.0,2021.0,Prix Femina,1.0,,,,0.0,1.0,9.0,Clara Dupont-Monod
1668,Octobre 2022,s'adapter ou mourir,1.0,,,,,,,,,,,,,,,,Antoine Renand
1669,Octobre 2022,"sa majesté mène l'enquête, tome 2 : bain de minuit à buckingham",1.0,,,,,,,,,,,,,,,,S. J. Bennett
1672,Octobre 2021,sacrifices,1.0,,,,,,,,,,,,,,,,Ellison Cooper
1673,Avril 2023,sainte marguerite-marie et moi,1.0,,,,,,,,,,,,,,,,Clémentine Beauvais
1674,Octobre 2023,saison d'orages et de silence,1.0,,,,,,,,,,,,,,,,Roseanne A. Brown
1675,Octobre 2021,sale bourge,1.0,,,,,,,,,,,,,,,,Nicolas Rodier
1676,Août 2021,sale gosse,1.0,,,,,,,,,,,,,,,,Mathieu Palain
1677,Rentrée 2023,samsara,1.0,,,,,,,,,,,,,,,,Patrick Deville
1678,Novembre 2022,sanction,1.0,,,,,,,,,,,,,,,,Ferdinand von Schirach
1679,Octobre 2021,sandremonde,1.0,,,,,,,,,,,,,,,,Jean-Luc Deparis
1681,Septembre 2021,sans jamais atteindre le sommet,1.0,,,,,,,,,,,,,,,,Paolo Cognetti
1682,Mai 2023,sans loi ni maître,1.0,,,,,,,,,,,,,,,,Arturo Pérez-Reverte
1684,Rentrée 2023,"sarah, susanne et l'écrivain",1.0,,,,,,,,,,,,,,,,Eric Reinhardt
1685,Mars 2023,sarà perché ti amo,1.0,,,,,,,,,,,,,,,,Serena Giuliano
1686,Découverte Rentrée 2022,satires,1.0,,,,,,,,,,,,,,,,Edgar Hilsenrath
1687,Découverte Rentrée 2022,satisfaction,1.0,,,,,,,,,,,,,,,,Nina Bouraoui
1688,Septembre 2021,sauf que c'étaient des enfants,1.0,,,,,,,,,,,,,,,,Gabrielle Tuloup
1689,Août-Octobre 2023,sauvage,1.0,,,,,,,,,,,,,,,,Julia Kerninon
1690,Février 2023,sauvagines,1.0,,,,,,,,,,,,,,,,Gabrielle Filteau-Chiba
1691,Avril 2023,scarlett,1.0,,,,,,,,,,,,,,,,François-Guillaume Lorrain
1692,Mars 2021,se le dire enfin,1.0,,,,,,,,,,,,,,,,Agnès Ledig
1694,Septembre 2023,secrets boréals,1.0,,,,,,,,,,,,,,,,Anna Raymonde Gazaille
1695,Mai 2023,sel,1.0,,,,,,,,,,,,,,,,Jussi Adler-Olsen
1696,Mars 2023,semia,1.0,,,,,,,,,,,,,,,,Audrey Gloaguen
1698,Mai 2022,serial bomber,1.0,,,,,,,,,,,,,,,,Robert Pobi
1699,Janvier 2023,"serpent & dove, tome 1",1.0,,,,,,,,,,,,,,,,Shelby Mahurin
1700,Novembre 2023,service action : sauvez zelensky !,1.0,,,,,,,,,,,,,,,,Victor K.
1701,Février 2023,set et match !,1.0,,,,,,,,,,,,,,,,Liane Moriarty
1702,Janvier 2023,seul entouré de chiens qui mordent,1.0,,,,,,,,,,,,,,,,David Thomas
1703,Janvier 2023,seule en sa demeure,1.0,,,,,,,,,,,,,,,,Cécile Coulon
1705,Septembre 2023,sexe et mensonges,1.0,,,,,,,,,,,,,,,,Leïla Slimani
1706,Rentrée 2021,shuggie bain,1.0,,,,,,,,,,,,,,,,Douglas Stuart
1707,Octobre 2023,si j'étais toi,1.0,,,,,,,,,,,,,,,,Amber Garza
1709,Février 2023,si tu me balances,1.0,,,,,,,,,,,,,,,,Anders Roslund
1710,Mai 2022,si ça saigne,1.0,,,,,,,,,,,,,,,,Stephen King
1711,Mars 2023,sidérations,1.0,,,,,,,,,,,,,,,,Richard Powers
1712,Août 2021,silences glacials,1.0,,,,,,,,,,,,,,,,Gwendoline Cachia
1713,Avril 2023,sinestra,1.0,,,,,,,,,,,,,,,,Armelle Carbonel
1714,Janvier 2023,six pieds sur terre,1.0,,,,,,,,,,,,,,,,Antoine Dole
1715,Mars 2022,skidamarink,1.0,,,,,,,,,,,,,,,,Guillaume Musso
1716,Septembre 2021,"skyward, tome 1 : vers les étoiles",1.0,,,,,,,,,,,,,,,,Brandon Sanderson
1717,Mai 2022,slade house,1.0,,,,,,,,,,,,,,,,David Mitchell
1718,Septembre 2021,snap killer,1.0,,,,,,,,,,,,,,,,Sylvie Allouche
1719,Août 2021,"soeur fidelma, tome 30 : du sang au paradis",1.0,,,,,,,,,,,,,,,,Peter Tremayne
1720,Janvier 2021,soif,1.0,,,,,,,,,,,,,,,,Amélie Nothomb
1721,Mai 2023,soixante secondes de bonheur,1.0,,,,,,,,,,,,,,,,Bruno Combes
1722,Mars 2021,soixante-neuf tiroirs,1.0,,,,,,,,,,,,,,,,Goran Petrovic
1723,Mars 2023,solak,1.0,,,,,,,,,,,,,,,,Caroline Hinault
